ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usc,swap_usc,profit_usc,equity_usc,margin_level,close_reason
617726811,2025-12-08T10:51:03,2025-12-08T11:29:34,sell,0.32,XAUUSDc,4204.325,4208.834,0,0,0,0,-144.29,,,user
617741527,2025-12-08T10:55:40,2025-12-08T11:29:34,buy,0.41,XAUUSDc,4206.286,4208.7080000000005,0,0,0,0,99.3,,,user
617735735,2025-12-08T10:57:53,2025-12-08T11:29:34,sell,0.41,XAUUSDc,4203.673,4208.868,0,0,0,0,-213,,,user
617763574,2025-12-08T10:58:28,2025-12-08T11:29:34,sell,0.52,XAUUSDc,4203.037,4208.899,0,0,0,0,-304.83,,,user
617751513,2025-12-08T10:58:38,2025-12-08T11:29:34,buy,0.52,XAUUSDc,4203.649,4208.7390000000005,0,0,0,0,264.68,,,user
617771713,2025-12-08T11:01:32,2025-12-08T11:29:34,sell,0.65,XAUUSDc,4202.227,4208.899,0,0,0,0,-433.68,,,user
617793891,2025-12-08T11:01:47,2025-12-08T11:29:33,buy,0.65,XAUUSDc,4202.743,4208.7390000000005,0,0,0,0,389.74,,,user
617794767,2025-12-08T11:02:39,2025-12-08T11:29:33,sell,0.81,XAUUSDc,4201.531,4208.899,0,0,0,0,-596.81,,,user
617806784,2025-12-08T11:03:06,2025-12-08T11:29:33,buy,0.81,XAUUSDc,4201.914,4208.7390000000005,0,0,0,0,552.83,,,user
617805996,2025-12-08T11:05:01,2025-12-08T11:29:33,sell,1.01,XAUUSDc,4200.838,4208.899,0,0,0,0,-814.16,,,user
617822185,2025-12-08T11:05:21,2025-12-08T11:29:33,buy,1.01,XAUUSDc,4201.359,4208.821,0,0,0,0,753.66,,,user
617818984,2025-12-08T11:06:01,2025-12-08T11:29:33,sell,1.26,XAUUSDc,4200.18,4208.926,0,0,0,0,-1102,,,user
617830828,2025-12-08T11:23:28,2025-12-08T11:29:33,sell,1.57,XAUUSDc,4206.428,4209.267,0,0,0,0,-445.72,,,user
617831349,2025-12-08T11:06:34,2025-12-08T11:29:32,buy,1.26,XAUUSDc,4200.46,4209.245,0,0,0,0,1106.91,,,user
617911889,2025-12-08T11:22:40,2025-12-08T11:29:32,buy,1.57,XAUUSDc,4206.972,4209.245,0,0,0,0,356.87,,,user
617917329,2025-12-08T11:27:57,2025-12-08T11:29:32,buy,1.95,XAUUSDc,4207.572,4209.331,0,0,0,0,343.01,,,user
617939121,2025-12-08T11:28:29,2025-12-08T11:29:32,buy,2.43,XAUUSDc,4208.417,4209.39,0,0,0,0,236.44,,,user
617946400,2025-12-08T11:29:18,2025-12-08T11:29:32,buy,3.02,XAUUSDc,4209.017,4209.395,0,0,0,0,114.16,,,user
617719460,2025-12-08T10:49:17,2025-12-08T10:49:19,buy,0.41,XAUUSDc,4205.968,4205.594,0,0,0,0,-15.34,,,user
617713760,2025-12-08T10:47:09,2025-12-08T10:49:18,buy,0.25,XAUUSDc,4204.205,4205.808,0,0,0,0,40.07,,,user
617713972,2025-12-08T10:47:13,2025-12-08T10:49:18,sell,0.25,XAUUSDc,4204.195,4205.968,0,0,0,0,-44.32,,,user
617714421,2025-12-08T10:48:38,2025-12-08T10:49:18,buy,0.32,XAUUSDc,4205.013,4205.808,0,0,0,0,25.44,,,user
617688132,2025-12-08T10:43:04,2025-12-08T10:47:06,sell,0.25,XAUUSDc,4206.762,4204.074,0,0,0,0,67.2,,,user
617687840,2025-12-08T10:43:05,2025-12-08T10:47:06,buy,0.25,XAUUSDc,4207.022,4203.914,0,0,0,0,-77.7,,,user
617695600,2025-12-08T10:46:09,2025-12-08T10:47:06,sell,0.32,XAUUSDc,4205.762,4204.074,0,0,0,0,54.01,,,user
617700385,2025-12-08T10:46:16,2025-12-08T10:47:06,sell,0.41,XAUUSDc,4204.917,4204.074,0,0,0,0,34.57,,,user
617700811,2025-12-08T10:46:55,2025-12-08T10:47:06,buy,0.32,XAUUSDc,4205.552,4203.914,0,0,0,0,-52.41,,,user
617706172,2025-12-08T10:47:03,2025-12-08T10:47:06,sell,0.52,XAUUSDc,4203.932,4204.074,0,0,0,0,-7.39,,,user
617685210,2025-12-08T10:42:57,2025-12-08T10:43:01,buy,0.25,XAUUSDc,4206.681,4207.118,0,0,0,0,10.92,,,user
617659262,2025-12-08T10:37:30,2025-12-08T10:42:53,buy,0.25,XAUUSDc,4205.644,4206.361,0,0,0,0,17.93,,,user
617659525,2025-12-08T10:37:34,2025-12-08T10:42:53,sell,0.25,XAUUSDc,4205.384,4206.521,0,0,0,0,-28.43,,,user
617661533,2025-12-08T10:39:32,2025-12-08T10:42:53,sell,0.32,XAUUSDc,4207.65,4206.679,0,0,0,0,31.07,,,user
617622681,2025-12-08T10:32:57,2025-12-08T10:37:27,sell,0.25,XAUUSDc,4204.758,4205.566,0,0,0,0,-20.2,,,user
617622630,2025-12-08T10:32:59,2025-12-08T10:37:27,buy,0.25,XAUUSDc,4205.0779999999995,4205.406,0,0,0,0,8.2,,,user
617628427,2025-12-08T10:33:15,2025-12-08T10:37:27,sell,0.32,XAUUSDc,4205.058,4205.475,0,0,0,0,-13.34,,,user
617635638,2025-12-08T10:34:12,2025-12-08T10:37:26,sell,0.41,XAUUSDc,4205.754,4205.684,0,0,0,0,2.87,,,user
617645917,2025-12-08T10:35:06,2025-12-08T10:37:26,sell,0.52,XAUUSDc,4206.833,4205.684,0,0,0,0,59.75,,,user
617610845,2025-12-08T10:31:29,2025-12-08T10:32:54,buy,0.25,XAUUSDc,4204.531,4204.91,0,0,0,0,9.47,,,user
617611506,2025-12-08T10:31:34,2025-12-08T10:32:54,sell,0.25,XAUUSDc,4203.89,4205.07,0,0,0,0,-29.5,,,user
617612925,2025-12-08T10:31:57,2025-12-08T10:32:53,buy,0.32,XAUUSDc,4203.821,4204.91,0,0,0,0,34.85,,,user
617563236,2025-12-08T10:28:34,2025-12-08T10:31:25,sell,0.25,XAUUSDc,4206.934,4204.449,0,0,0,0,62.12,,,user
617562069,2025-12-08T10:28:36,2025-12-08T10:31:25,buy,0.25,XAUUSDc,4207.219,4204.289,0,0,0,0,-73.25,,,user
617574644,2025-12-08T10:29:27,2025-12-08T10:31:24,buy,0.32,XAUUSDc,4206.33,4204.332,0,0,0,0,-63.94,,,user
617585189,2025-12-08T10:30:23,2025-12-08T10:31:24,buy,0.41,XAUUSDc,4204.941,4204.203,0,0,0,0,-30.26,,,user
617592550,2025-12-08T10:30:34,2025-12-08T10:31:24,buy,0.52,XAUUSDc,4204.688,4204.203,0,0,0,0,-25.22,,,user
617599283,2025-12-08T10:31:04,2025-12-08T10:31:24,buy,0.65,XAUUSDc,4204.11,4204.203,0,0,0,0,6.05,,,user
617603101,2025-12-08T10:31:13,2025-12-08T10:31:24,buy,0.81,XAUUSDc,4202.096,4204.203,0,0,0,0,170.66,,,user
617525867,2025-12-08T10:22:09,2025-12-08T10:27:48,buy,0.05,XAUUSDc,4208.233,4208.045,0,0,0,0,-0.94,,,user
617528200,2025-12-08T10:22:35,2025-12-08T10:27:48,sell,0.05,XAUUSDc,4208.06,4208.205,0,0,0,0,-0.73,,,user
617539902,2025-12-08T10:25:51,2025-12-08T10:27:48,sell,0.07,XAUUSDc,4208.919,4208.205,0,0,0,0,4.99,,,user
617498138,2025-12-08T10:10:30,2025-12-08T10:21:59,buy,0.05,XAUUSDc,4209.092,4208.331,0,0,0,0,-3.8,,,user
617498152,2025-12-08T10:10:45,2025-12-08T10:21:59,sell,0.05,XAUUSDc,4209.019,4208.491,0,0,0,0,2.64,,,user
617515464,2025-12-08T10:20:28,2025-12-08T10:21:59,buy,0.07,XAUUSDc,4207.752,4208.331,0,0,0,0,4.06,,,user
617477103,2025-12-08T10:02:09,2025-12-08T10:10:24,sell,0.05,XAUUSDc,4208.456,4208.969,0,0,0,0,-2.57,,,user
617477089,2025-12-08T10:02:12,2025-12-08T10:10:24,buy,0.05,XAUUSDc,4208.632,4208.809,0,0,0,0,0.89,,,user
617485120,2025-12-08T10:07:50,2025-12-08T10:10:24,sell,0.07,XAUUSDc,4209.648,4208.969,0,0,0,0,4.76,,,user
617474873,2025-12-08T10:02:01,2025-12-08T10:02:04,sell,0.05,XAUUSDc,4208.86,4208.651,0,0,0,0,1.04,,,user
617472564,2025-12-08T10:01:31,2025-12-08T10:01:57,sell,0.05,XAUUSDc,4209.487,4209.282,0,0,0,0,1.03,,,user
617430901,2025-12-08T09:54:05,2025-12-08T10:01:29,buy,0.05,XAUUSDc,4211.246,4210.1630000000005,0,0,0,0,-5.41,,,user
617430944,2025-12-08T09:54:04,2025-12-08T10:01:28,sell,0.05,XAUUSDc,4210.706,4210.323,0,0,0,0,1.91,,,user
617436813,2025-12-08T09:56:37,2025-12-08T10:01:28,buy,0.07,XAUUSDc,4209.917,4209.999,0,0,0,0,0.57,,,user
617451130,2025-12-08T09:58:35,2025-12-08T10:01:27,buy,0.1,XAUUSDc,4208.276,4209.576,0,0,0,0,13,,,user
617390445,2025-12-08T09:49:13,2025-12-08T09:54:01,buy,0.05,XAUUSDc,4208.154,4211.192,0,0,0,0,15.19,,,user
617390461,2025-12-08T09:49:16,2025-12-08T09:54:01,sell,0.05,XAUUSDc,4207.958,4211.352,0,0,0,0,-16.97,,,user
617395007,2025-12-08T09:51:32,2025-12-08T09:54:01,sell,0.07,XAUUSDc,4210.714,4211.248,0,0,0,0,-3.74,,,user
617417570,2025-12-08T09:53:41,2025-12-08T09:54:00,sell,0.1,XAUUSDc,4212.166,4211.248,0,0,0,0,9.18,,,user
617389886,2025-12-08T09:49:06,2025-12-08T09:49:09,sell,0.05,XAUUSDc,4208.28,4208.048,0,0,0,0,1.16,,,user
617380292,2025-12-08T09:47:26,2025-12-08T09:49:04,buy,0.05,XAUUSDc,4208.059,4208.477,0,0,0,0,2.09,,,user
617382661,2025-12-08T09:47:37,2025-12-08T09:49:04,sell,0.05,XAUUSDc,4207.002,4208.637,0,0,0,0,-8.18,,,user
617383724,2025-12-08T09:48:01,2025-12-08T09:49:04,buy,0.07,XAUUSDc,4207.199,4208.477,0,0,0,0,8.95,,,user
617366942,2025-12-08T09:45:15,2025-12-08T09:47:25,buy,0.05,XAUUSDc,4208.159,4207.799,0,0,0,0,-1.8,,,user
617366948,2025-12-08T09:45:21,2025-12-08T09:47:25,sell,0.05,XAUUSDc,4208.213,4207.959,0,0,0,0,1.27,,,user
617372600,2025-12-08T09:46:35,2025-12-08T09:47:25,buy,0.07,XAUUSDc,4207.215,4207.799,0,0,0,0,4.08,,,user
617348131,2025-12-08T09:41:08,2025-12-08T09:45:13,buy,0.05,XAUUSDc,4208.168,4207.899,0,0,0,0,-1.34,,,user
617349916,2025-12-08T09:41:22,2025-12-08T09:45:12,sell,0.05,XAUUSDc,4207.899,4208.059,0,0,0,0,-0.8,,,user
617357676,2025-12-08T09:42:55,2025-12-08T09:45:12,sell,0.07,XAUUSDc,4208.706,4208.059,0,0,0,0,4.53,,,user
617327616,2025-12-08T09:39:14,2025-12-08T09:41:03,buy,0.05,XAUUSDc,4208.384,4207.428,0,0,0,0,-4.78,,,user
617327635,2025-12-08T09:39:16,2025-12-08T09:41:03,sell,0.05,XAUUSDc,4208.285,4207.716,0,0,0,0,2.85,,,user
617334774,2025-12-08T09:40:24,2025-12-08T09:41:03,buy,0.07,XAUUSDc,4207.548,4207.659,0,0,0,0,0.77,,,user
617340853,2025-12-08T09:40:39,2025-12-08T09:41:03,buy,0.1,XAUUSDc,4206.862,4207.512,0,0,0,0,6.5,,,user
617326931,2025-12-08T09:39:05,2025-12-08T09:39:10,sell,0.05,XAUUSDc,4208.375,4208.149,0,0,0,0,1.13,,,user
617325333,2025-12-08T09:38:47,2025-12-08T09:39:00,sell,0.05,XAUUSDc,4208.9800000000005,4208.803,0,0,0,0,0.88,,,user
617297089,2025-12-08T09:32:12,2025-12-08T09:38:43,sell,0.05,XAUUSDc,4209.783,4209.353,0,0,0,0,2.15,,,user
617297047,2025-12-08T09:32:14,2025-12-08T09:38:43,buy,0.05,XAUUSDc,4210.131,4209.193,0,0,0,0,-4.69,,,user
617310595,2025-12-08T09:37:30,2025-12-08T09:38:43,buy,0.07,XAUUSDc,4208.383,4209.193,0,0,0,0,5.67,,,user
617249515,2025-12-08T09:23:53,2025-12-08T09:32:09,buy,0.05,XAUUSDc,4207.888,4209.883,0,0,0,0,9.98,,,user
617249583,2025-12-08T09:24:03,2025-12-08T09:32:09,sell,0.05,XAUUSDc,4207.7,4209.874,0,0,0,0,-10.87,,,user
617254807,2025-12-08T09:26:03,2025-12-08T09:32:09,sell,0.07,XAUUSDc,4209.327,4209.874,0,0,0,0,-3.83,,,user
617274929,2025-12-08T09:28:46,2025-12-08T09:32:08,sell,0.1,XAUUSDc,4210.016,4209.874,0,0,0,0,1.42,,,user
617287910,2025-12-08T09:31:12,2025-12-08T09:32:08,sell,0.13,XAUUSDc,4210.825,4209.961,0,0,0,0,11.24,,,user
617233585,2025-12-08T09:21:40,2025-12-08T09:23:51,buy,0.05,XAUUSDc,4208.451,4207.454,0,0,0,0,-4.99,,,user
617233675,2025-12-08T09:21:42,2025-12-08T09:23:51,sell,0.05,XAUUSDc,4208.204,4207.648,0,0,0,0,2.78,,,user
617238715,2025-12-08T09:22:36,2025-12-08T09:23:50,buy,0.07,XAUUSDc,4206.81,4207.488,0,0,0,0,4.75,,,user
617229816,2025-12-08T09:21:30,2025-12-08T09:21:36,sell,0.05,XAUUSDc,4208.59,4208.379,0,0,0,0,1.05,,,user
617205498,2025-12-08T09:15:03,2025-12-08T09:21:26,buy,0.05,XAUUSDc,4209.296,4208.905,0,0,0,0,-1.95,,,user
617206064,2025-12-08T09:15:07,2025-12-08T09:21:25,sell,0.05,XAUUSDc,4208.933,4209.065,0,0,0,0,-0.66,,,user
617219572,2025-12-08T09:19:05,2025-12-08T09:21:25,sell,0.07,XAUUSDc,4209.8550000000005,4209.065,0,0,0,0,5.53,,,user
617164876,2025-12-08T09:09:41,2025-12-08T09:15:00,buy,0.05,XAUUSDc,4207.8099999999995,4209.135,0,0,0,0,6.63,,,user
617165025,2025-12-08T09:09:43,2025-12-08T09:15:00,sell,0.05,XAUUSDc,4207.508,4209.295,0,0,0,0,-8.94,,,user
617178271,2025-12-08T09:13:36,2025-12-08T09:15:00,sell,0.07,XAUUSDc,4209.995,4209.295,0,0,0,0,4.9,,,user
